"Industry (English) / Industrie (Anglais)","Industry (French) / Industrie (Français)","Year / Année","NAICS Number / Numéro SCIAN","Total - Releases to Air (tonnes) / Total - Rejets dans l'air (tonnes)","Facility Count / Nombres d'installations"
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2023,3364,868.254551170,33
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2018,3364,1023.839749800,37
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2024,3364,12221.425998101,31
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2017,3364,897.077425900,36
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2021,3364,781.629634810,34
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2020,3364,796.873664321,36
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2019,3364,1056.150448240,36
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2015,3364,1106.373896500,33
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2022,3364,871.264505219,34
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2016,3364,1090.631493100,35
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2019,4183,678.200858000,28
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2022,4183,430.544158000,27
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2020,4183,843.193319000,27
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2017,4183,736.588169000,33
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2015,4183,672.631458000,33
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2024,4183,110.319616000,5
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2021,4183,420.130048000,28
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2023,4183,531.122985000,28
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2018,4183,517.765112000,28
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2016,4183,711.495073000,32
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2024,3331,194.458315000,12
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2023,3331,319.726500000,11
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2016,3331,1517.805600000,9
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2022,3331,335.174600000,11
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2020,3331,241.901100000,10
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2019,3331,3323.299100000,11
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2018,3331,2771.360600000,11
