"Year / Année","Province / Province","CAS Number / Numéro CAS","Substance (English) / Substance (Anglais)","Substance (French) / Substance (Français)","Total - Releases to Air (tonnes) / Total - Rejets dans l'air (tonnes)","Facility Count / Nombres d'installations"
2015,"ON","56-23-5","Carbon tetrachloride","Tétrachlorure de carbone",0.000200000,1
2015,"ON","56-49-5","3-Methylcholanthrene","3-Méthylcholanthrène",0.000114000,2
2015,"ON","56-55-3","Benz[a]anthracene","Benz[a]anthracène",0.163540900,17
2015,"ON","57-97-6","7,12-Dimethylbenz[a]anthracene","7,12-Diméthylbenz[a]anthracène",0.001548800,4
2015,"ON","584-84-9","Toluene-2,4-diisocyanate","Toluène-2,4-diisocyanate",0.000380800,4
2015,"ON","630-08-0","Carbon monoxide","Monoxyde de carbone",67834.149100000,261
2015,"ON","64-18-6","Formic acid","Acide formique",30.937000000,3
2015,"ON","64-75-5","Tetracycline hydrochloride","Chlorhydrate de tétracycline",0.000200000,2
2015,"ON","67-56-1","Methanol","Méthanol",2057.872500000,75
2015,"ON","67-63-0","Isopropyl alcohol","Alcool isopropylique",587.083900000,67
2015,"ON","67-66-3","Chloroform","Chloroforme",0.003900000,1
2015,"ON","68-12-2","n,n-Dimethylformamide","n,n-Diméthylformamide",1.576700000,1
2015,"ON","71-36-3","n-Butyl alcohol","Butan-1-ol",372.851600000,21
2015,"ON","71-43-2","Benzene","Benzène",172.203700000,19
2015,"ON","7429-90-5","Aluminum (fume or dust only)","Aluminium (fumée ou poussière seulement)",14.417600000,5
2015,"ON","7440-62-2","Vanadium (except when in an alloy) and its compounds","Vanadium (sauf lorsqu'il est dans un alliage) et ses composés",4.827500000,20
2015,"ON","7446-09-5","Sulphur dioxide","Dioxyde de soufre",248757.769600000,101
2015,"ON","74-83-9","Bromomethane","Bromométhane",0.000600000,1
2015,"ON","74-85-1","Ethylene","Éthylène",458.330600000,14
2015,"ON","74-87-3","Chloromethane","Chlorométhane",59.057000000,2
2015,"ON","74-90-8","Hydrogen cyanide","Cyanure d'hydrogène",107.070500000,4
2015,"ON","75-01-4","Vinyl chloride","Chlorure de vinyle",0.386100000,2
2015,"ON","75-05-8","Acetonitrile","Acétonitrile",11.366000000,3
2015,"ON","75-07-0","Acetaldehyde","Acétaldéhyde",87.939500000,8
2015,"ON","75-09-2","Dichloromethane","Dichlorométhane",35.493000000,5
2015,"ON","75-15-0","Carbon disulphide","Disulfure de carbone",216.261100000,5
2015,"ON","75-45-6","HCFC-22","HCFC-22",5.800000000,1
2015,"ON","75-69-4","CFC-11","CFC-11",0.000100000,1
2015,"ON","75-71-8","CFC-12","CFC-12",0.000200000,1
2015,"ON","7632-00-0","Sodium nitrite","Nitrite de sodium",0.520100000,1
2015,"ON","7647-01-0","Hydrochloric acid","Acide chlorhydrique",568.961200000,39
2015,"ON","7664-39-3","Hydrogen fluoride","Fluorure d'hydrogène",25.351400000,4
2015,"ON","7664-93-9","Sulphuric acid","Acide sulfurique",1564.744900000,46
2015,"ON","7681-49-4","Sodium fluoride","Fluorure de sodium",0.000600000,1
2015,"ON","7697-37-2","Nitric acid","Acide nitrique",12.564500000,14
2015,"ON","77-73-6","Dicyclopentadiene","Dicyclopentadiène",0.396900000,1
2015,"ON","7782-41-4","Fluorine","Fluor",0.020000000,1
2015,"ON","7782-50-5","Chlorine","Chlore",6.901000000,5
2015,"ON","7783-06-4","Hydrogen sulphide","Sulfure d'hydrogène",347.269800000,20
2015,"ON","7789-75-5","Calcium fluoride","Fluorure de calcium",1.707800000,2
2015,"ON","78-79-5","Isoprene","Isoprène",4.977791900,5
2015,"ON","78-83-1","i-Butyl alcohol","2-Méthylpropan-1-ol",145.094700000,14
2015,"ON","78-87-5","1,2-Dichloropropane","1,2-Dichloropropane",0.000100000,1
2015,"ON","78-93-3","Methyl ethyl ketone","Méthyléthylcétone",973.647300000,60
2015,"ON","79-01-6","Trichloroethylene","Trichloroéthylène",23.128700000,3
2015,"ON","79-21-0","Peracetic acid (and its salts)","Acide peracétique (et ses sels)",19.885300000,3
2015,"ON","80-05-7","Bisphenol A","Bisphénol A",0.000209000,2
2015,"ON","80-62-6","Methyl methacrylate","Méthacrylate de méthyle",27.557300000,4
2015,"ON","83-32-9","Acenaphthene","Acénaphtène",1.183707800,13
2015,"ON","85-01-8","Phenanthrene","Phénanthrène",1.962899600,26
2015,"ON","85-44-9","Phthalic anhydride","Anhydride phtalique",0.090000000,3
