Reference Year,GHGRP ID No.,Facility Province or Territory,CO2 tonnes,CH4 tonnes,N2O tonnes,SF6 tonnes,HFC Total tonnes CO2e,PFC Total tonnes CO2e
2022,G12721,Quebec,247.38,956.1621,0.0019,0.0,0.0,0.0
2022,G10001,Quebec,38877.071,0.760073,0.67502,0.0,0.0,0.0
2022,G10003,Alberta,336867.3292,482.5719,8.5875,0.0,0.0,0.0
2022,G10004,Ontario,998.03,0.243572,0.025105,0.0,0.0,0.0
2022,G10006,Alberta,1101754.921,4295.113188,16.554313,0.0,0.0,0.0
2022,G10007,Alberta,297012.3748,21.26512,5.83702,0.0,0.0,0.0
2022,G10008,Alberta,534847.7666,781.460957,11.173841,0.0,0.0,0.0
2022,G10009,Alberta,152118.095,188.8436,28.9026,0.0,3.5923,0.0
2022,G10010,British Columbia,280704.66,1.844521,1.791066,0.0036,0.0,139069.8
2022,G10011,Ontario,3919732.296,465.849,13.08122,0.0,0.0,0.0
2022,G10012,Quebec,1067504.3,2.0469,2.9126,0.0,191.048,72373.1058
2022,G10013,Quebec,522720.8916,0.5172,19.93303,0.0003,79.035,6588.99
2022,G10014,Quebec,792936.7802,1.5378,2.351,0.0,0.0,27926.772
2022,G10015,Alberta,61083.4302,1735.6146,4.1783,0.0,26.1596,0.0
2022,G10016,Ontario,18653.86,11.89,5.48,0.0,0.0,0.0
2022,G10018,Alberta,874071.0713,17.3333,4.6742,0.0,0.0,0.0
2022,G10020,New Brunswick,31074.5,7.8,0.8,0.0,0.0,0.0
2022,G10021,Quebec,406036.048,2.222,2.506,0.0,0.0,0.0
2022,G10022,New Brunswick,2372492.89,20.178,30.012,0.0,0.0,0.0
2022,G10024,Saskatchewan,3680020.858,199.10916,99.696555,0.0,0.0,0.0
2022,G10025,Ontario,196275.245,327.27311,24.310657,0.0,0.0,0.0
2022,G10026,Manitoba,0.0,20994.63,0.0,0.0,0.0,0.0
2022,G10027,Ontario,61282.12994,1.197,1.062,0.0,0.0,0.0
2022,G10028,Manitoba,19199.45425,4.845441,0.493206,0.00536,0.0,0.0
2022,G10029,Alberta,130442.3121,233.4911,7.3029,0.0,0.0,0.0
2022,G10030,Alberta,55208.94197,75.63402,1.55914,0.0,0.0,0.0
