"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","centroidX","centroidY"
"Cell_1",0,0,0,0.111558698,0,0.479717374,0,0.216937453,0,0.246576518,0.496464431,0.253425151,0,0.121129505,0,0,0.757220089,0,0,0.841612637,0.660002947,0.398790717,0.666952848,0,0,0.030669143,0,0,0,0,0.135854185,0,0,0.518785715,0,0.37733978,1645.635132,6.729857922
"Cell_2",0,0,0,0.436962485,0,1.057944417,0,0,0,0,0.842553973,0.308663368,0,0,0,0,0.746746719,0,0,0.868198752,0.623984993,0.436975569,0.752584279,0,0,0.008810307,0,0,0,0,0.011819327,0,0,0.619067013,0,0,1693.625,9.326086998
"Cell_3",0,0,0,0.277569115,0,0.644113779,0,0.006269503,0,0,0.625827909,0.183887944,0,0,0,0,0.822491884,0,0,0.913295269,0.732704341,0.529872119,0.50552249,0,0,0.132049292,0,0,0,0,0.29206866,0,0,0.624970675,0,0,1813.877197,8.84837532
"Cell_4",0,0,0,0.034244306,0,0.509148061,0,0.091976024,0,0,0.322150797,0.139723435,0,0.013750308,0,0.214202806,0.772334456,0,0,0.643415749,0.564010978,0.114034563,0.528179407,0,0,0.292348027,0,0,0,0,0.594809651,0,0,0.434428662,0,0,1797.039063,17.58687973
"Cell_5",0,0,0,0,0,0.452857345,0,0,0,0,0.202666894,0,0,0,0,0,0.780819476,0,0,0.755468905,0.69966656,0.155834645,0.435412258,0,0,0.128079206,0,0,0,0,0.134742826,0,0,0.421899617,0,0.386701941,419.3009949,18.70149231
"Cell_6",0,0,0,0,0,0.693409026,0,0.155706599,0,0,0.472749501,0,0,0.015124348,0,0,0.81666863,0,0,0.853805661,0.614569426,0.40384388,0.557307899,0,0,0.005749174,0,0,0,0,0,0,0,0.504547477,0,0,403.2113342,28.49077988
"Cell_7",0.021999775,0,0,0.031101063,0,0.290838897,0,0.200568005,0.005478184,0.107846864,0.4772093,0,0,0,0,0,0.759042859,0,0,0.757886112,0.657193422,0.070671223,0.438052177,0,0,0,0,0,0,0,0.025165085,0,0,0.362062126,0,0.510534823,445.1347351,28.21894646
"Cell_8",0,0,0,0,0,0.618224621,0,0.036240432,0,0,0.678439856,0.08218357,0,0.082321614,0,0.031317074,0.711190224,0,0,0.843196213,0.619071603,0.30728817,0.475159734,0,0,0.077880166,0,0,0,0,0.224562258,0,0,0.507247388,0,0,1756.686768,36.4617157
"Cell_9",0,0,0,0,0,0.480808377,0,0,0,0,0.350221783,0.078850515,0,0,0,0.083521485,0.732858658,0,0,0.762698948,0.497620612,0.097832933,0.550478816,0,0,0.034436196,0,0,0,0,0.093773797,0,0,0.440170139,0,0.419241458,225.7505035,54.88032532
"Cell_10",0,0,0,0.070682235,0,0.802307308,0,0.173056513,0,0.101697221,0.655854106,0.101595968,0,0,0,0,0.832615316,0,0,0.896605372,0.710019052,0.409121782,0.542030931,0,0,0.007237469,0,0,0,0,0,0,0,0.571637094,0,0,1636.675537,60.90476227
"Cell_11",0,0,0,0,0,0.689275265,0,0,0,0,0.429129094,0,0,0,0,0,0.788296878,0,0,0.881010115,0.714976609,0.291883945,0.539306998,0,0,0.011976683,0,0,0,0,0.140949517,0,0,0.563132465,0,0,1650.300537,61.66009903
"Cell_12",0,0,0,0.238710403,0,0.779447854,0,0.251592606,0.12303254,0.191821784,0.644652605,0.308967084,0,0.044096425,0,0.16770108,0.939767003,0,0,0.913572907,0.749098837,0.474486202,0.603060842,0,0,0.05290699,0,0,0,0,0.285878181,0,0,0.616822064,0.12813361,0,1934.793823,61.0529213
"Cell_13",0,0,0,0.107748091,0,0.431596637,0,0,0,0,0.22757706,0,0,0.170492634,0.119454615,0,0.755372167,0,0,0.621332526,0.429022789,0.275748193,0.586031854,0,0,0.137994766,0,0,0,0,0.382893831,0,0,0.369887978,0.174312145,0.426508784,1733.011475,68.63252258
"Cell_14",0,0,0.070942998,0,0,0.81289506,0,0,0,0,0.484803319,0.06828402,0,0,0,0,0.819695532,0,0,0.659141779,0.648770571,0.331303984,0.638026118,0,0,0.183140665,0,0,0,0,0.01463635,0,0,0.462337226,0.185302034,0.174136102,1594.842285,74.87115479
"Cell_15",0.041084412,0,0,0.118910387,0,0.674302042,0,0.027338892,0.020487439,0,0.471154153,0,0,0,0,0,0.77267468,0,0,0.840004027,0.659746885,0.237539828,0.655914009,0,0,0.025494603,0,0,0,0,0.084832564,0,0,0.50931102,0,0.095760234,1612.440918,80.6889801
"Cell_16",0,0,0.470588684,0,0,0.812412858,0,0,0,0,0.832823098,0.254261941,0,0.29798907,0,0.185082421,0.830849469,0,0,0.758259654,0.540189028,0.612434506,0.565470755,0,0,0.001967693,0,0,0,0,0.005279309,0,0,0.477247596,0,0.134735852,1579.296143,88.77184296
"Cell_17",0.119918376,0,0,0.069819734,0,0.794570029,0,0.074826248,0,0,0.541086614,0,0,0,0,0,0.518049061,0,0,0.753159761,0.564289808,0.581274092,0.473327637,0,0,0,0,0,0,0,0.033517767,0,0,0.418944538,0,0.037789132,1637.240723,88.65431976
"Cell_18",0,0,0,0.269961178,0,0.899409294,0,0.285695314,0,0.193118498,0.77506578,0.478201568,0,0,0,0.035599232,0.951345503,0,0,0.934634507,0.694512427,0.402525097,0.659440756,0,0,0.053121295,0,0,0,0,0.229216069,0,0,0.63532275,0,0,1881.77832,89.15567017
"Cell_19",0.068083256,0,0,0.027150443,0,0.41209501,0,0,0.257129282,0,0.182584688,0,0,0,0.041992486,0,0.862866998,0,0,0.614655077,0.590524971,0.123029277,0.583330631,0,0,0.124485388,0.02659346,0,0,0,0.333573431,0,0,0.350667685,0.134514406,0.137231618,1969.347168,90.85668945
"Cell_20",0,0,0,0.197303265,0,0.651989698,0,0.123087108,0,0.16914396,0.647959828,0.33829236,0,0.225881502,0,0.096320383,0.867758632,0,0,0.791844964,0.432826161,0.567166686,0.629497588,0,0,0.037924163,0,0,0,0,0.100751594,0,0,0.499204129,0.10162285,0,1681.455078,94.15102386
"Cell_21",0,0,0,0.158434153,0,0.524593055,0,0,0,0,0.493282437,0,0,0,0,0,0.849020422,0,0,0.741189361,0.655267596,0.249104068,0.581204295,0,0,0,0,0,0,0,0,0,0,0.413667649,0.194087803,0.376858234,1507.008789,101.1545258
"Cell_22",0.024186758,0,0,0.365305305,0,0.784563422,0,0.081132092,0.013552321,0,0.702177644,0,0,0.188282058,0,0,0.787722886,0,0,0.8415097,0.590253413,0.467224151,0.53452462,0,0,0.091096364,0,0,0,0,0.367485225,0,0,0.528952718,0.102528803,0,1954.007813,107.2760391
"Cell_23",0,0,0,0.310895354,0,0.577955961,0,0.104662731,0,0,0.634588718,0.103398658,0,0,0,0,0.64794445,0,0,0.861247957,0.672141612,0.35949856,0.514619529,0,0,0.075149968,0,0,0,0,0.165376067,0,0,0.505351961,0,0,1636.672729,111.9333344
"Cell_24",0,0,0,0,0,0.709065676,0,0.003885177,0,0,0.456732035,0.059017323,0,0.010844643,0,0,0.774549365,0,0,0.795156181,0.540590465,0.416947544,0.546317399,0,0,0.071672827,0,0,0,0,0.223498091,0,0,0.460070968,0,0,1773.248291,116.116333
"Cell_25",0,0,0,0,0,0.714844048,0,0.13705273,0,0,0.547284007,0.088654645,0,0.102522142,0,0,0.816974759,0,0,0.773435116,0.69277972,0.477556765,0.614032567,0,0,0.009687456,0,0,0,0,0.010830777,0,0,0.464888811,0.220058709,0,1728.649414,119.8625488
"Cell_26",0,0,0,0.005033934,0,0.891539454,0,0.076612934,0,0.025303813,0.630618215,0.257317543,0,0,0.008072893,0,0.868956268,0,0,0.821587384,0.679926991,0.372639179,0.717230022,0,0,0.039315015,0,0,0,0,0,0,0,0.54603225,0,0,1548.531006,126.4380493
