"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","mm","centroidX","centroidY"
"Cell_1405",0.179703847,0,0.008168636,0,0,0.613346934,0,0.13279517,0,0.058763381,0.503604054,0.311680853,0,0,0,0,0.810469627,0,0,0.91055882,0.744764447,0.236796528,0.741594613,0,0,0,0,0,0,0,0,0,0.09108337,0.572771549,0.687374413,0.568679392,"B",1889.08606,9.842593193
"Cell_1406",0,0,0.334021866,0,0,0.676805913,0,0.418529004,0,0.288611978,0.679765582,0.398637325,0,0,0,0,0.742791593,0,0,0.803646803,0.655882478,0.572537124,0.797959328,0,0,0,0,0,0,0,0,0,0.199692637,0.549069345,0,0.548821568,"B",1978.837036,8.857988358
"Cell_1407",0,0,0,0.101043917,0,0.287680119,0,0.116962701,0.147026762,0.063049972,0.532691777,0.170356572,0,0,0,0,0.811359584,0,0,0.803109527,0.740100741,0.188957602,0.702684581,0,0,0,0.466840148,0,0,0,0,0,0.143978566,0.845685124,0,0.208518371,"B",1997.037964,15.89748001
"Cell_1408",0.094026498,0.010126154,0,0,0,0.341582566,0,0.121943474,0,0.035956413,0.44752124,0.313845068,0,0,0,0,0.784660161,0,0,0.878371894,0.781329334,0.290482253,0.644776881,0.045586862,0,0,0,0,0,0,0,0,0.060371105,0.56419003,0.014403422,0.641123891,"B",1411.046997,16.9968605
"Cell_1409",0.079879738,0,0.337321937,0,0,0.569057882,0,0.191818327,0,0.194925487,0.723905683,0.552771747,0,0,0,0,0.758979917,0,0,0.583201826,0.605745554,0.639934957,0.850800276,0,0,0,0,0,0,0,0,0,0.076684862,0.283866823,0,0.683202446,"B",1892.212036,28.29003906
"Cell_1410",0,0,0.246518463,0,0,1.085728526,0,0.193125203,0,0.27007705,0.830078065,0.444176495,0,0,0.137575045,0.067648686,0.618437052,0,0,0.772671342,0.599442601,0.456110239,0.874878526,0,0,0,0,0,0,0,0,0,0.066946879,0.641793609,0,0.662727416,"B",1842.232056,35.32493973
"Cell_1411",0,0,0.380833566,0,0,0.522232652,0,0.643159032,0,0.697424889,0.829127729,0.681783259,0,0,0.07365755,0,0.755155087,0,0,0.749875724,0.787518382,0.305882633,0.80052644,0,0,0,0,0,0,0,0,0.148271456,0.097394451,0.410427928,0,0.690484166,"B",1859.619019,45.88932037
"Cell_1412",0,0.047187734,0.138061374,0,0.067660511,0.624540746,0,0.359744132,0,0.073004462,0.645456612,0.409022272,0,0.010942522,0.026737526,0,0.720041811,0,0,0.91606617,0.698188901,0.357627541,0.805245101,0,0,0,0,0,0.109456271,0,0,0,0,0.615422904,0,0.571240902,"B",2018.54895,51.88938904
"Cell_1413",0.006705255,0,0.679965973,0,0,0.391076982,0,0.608803153,0,0.385110229,0.685212851,0.495059639,0,0,0.161813363,0,0.77718401,0,0,0.748457551,0.757544875,0.220922351,0.837768376,0,0,0,0,0,0,0,0,0.113327235,0.025585363,0.402111828,0,0.607087314,"B",1968.099976,53.71284103
"Cell_1414",0,0,0.294166833,0,0,0.284548402,0,0.33279866,0,0.493096143,0.755533874,0.548718393,0,0.058122966,0.239688277,0,0.751049042,0,0,0.643609941,0.694168031,0.504572988,0.806087196,0,0,0,0,0,0,0,0,0,0.181127667,0.364702463,0,0.652538538,"B",1887.855957,53.00548172
"Cell_1415",0,0,0.720582843,0,0,0.307823986,0,0.147586524,0,0.232910693,0.637115479,0.41229713,0,0,0,0,0.813466966,0,0,0.887975693,0.68307054,0.475181818,0.760932386,0,0,0,0,0,0,0,0,0.236549631,0,0.573363006,0,0.340507805,"B",1641.772949,55.58594131
"Cell_1416",0,0,0,0,0.00298097,0.750374615,0,0,0,0.01911906,0.666393399,0.436861098,0,0,0.206656069,0,0.865508437,0,0,0.813924491,0.602350831,0.360298067,0.735430121,0,0,0,0,0,0,0,0,0,0,0.614529312,0.190171316,0.71639657,"B",357.1647949,61.54584885
"Cell_1417",0,0.108927578,0.307942986,0,0.011430519,0.641129434,0,0.585669935,0,0.671709716,0.836157858,0.764883578,0,0,0.051873464,0,0.801020265,0,0.314853162,0.692707479,0.809123874,0.729612112,0.90920496,0,0,0,0,0,0,0,0,0.01239779,0,0.402311713,0,0.674494565,"B",1839.166992,62.01099014
"Cell_1418",0,0,0.289417893,0,0.075870052,0.444046617,0,0.388651818,0,0.410463959,0.789360583,0.488243908,0,0,0.199524134,0,0.735507965,0,0,0.73087883,0.698708475,0.572719991,0.835815609,0,0,0,0,0,0,0,0,0.249879882,0.537058592,0.433540791,0,0.679700494,"B",1860.161987,66.62184906
"Cell_1419",0,0,0.344959676,0,0,0.642196894,0,0.181536555,0,0.056933384,0.679904163,0.418002248,0,0,0.036283515,0,0.850319386,0,0,0.928019643,0.760766864,0.372485191,0.795069933,0,0,0,0,0,0,0,0,0,0.049072906,0.638348222,0,0.558675945,"B",1649.279053,71.3355484
"Cell_1420",0,0.006240772,0.604735672,0,0,0.84553802,0,0.313704401,0,0.210328475,0.784736633,0.438802689,0,0,0.222796053,0.211777121,0.61511606,0,0,0.845557213,0.626297235,0.443038523,0.867160201,0,0,0,0,0,0,0,0,0.04369498,0.260324091,0.577925086,0,0.632577837,"B",1983.880005,69.69380188
"Cell_1421",0,0.052552816,0.443059593,0,0,0.393431872,0,0.471761793,0,0.624212265,0.790749311,0.598804533,0,0,0.048907962,0,0.808076859,0,0,0.855047643,0.889463663,0.571391225,0.812281132,0,0,0,0,0,0,0,0,0.003616246,0,0.528929412,0,0.492727935,"B",1822.772949,73.90962219
"Cell_1422",0.155193999,0,0.556654036,0,0,0.620777249,0,0.09495037,0,0.033867348,0.63015902,0.232466921,0,0,0.296686113,0,0.681576729,0.014490632,0,0.8356691,0.732824087,0.487030506,0.874304652,0,0,0,0,0,0,0,0,0.015187949,0,0.508495927,0.225931361,0.742009342,"B",1948.067993,77.2245636
"Cell_1423",0,0,0.436154246,0,0,0.817878485,0,0.161340982,0,0.129629448,0.75191164,0.422148824,0,0.008298905,0.040224858,0,0.687599361,0,0,0.787216485,0.687761009,0.560718417,0.806227386,0,0,0,0,0,0,0,0,0.008047384,0.054779489,0.498487532,0,0.547560751,"B",1874.421021,81.19116211
"Cell_1424",0,0,0,0,0,0.631956816,0,0,0,0,0.441110402,0.053753,0,0,0,0,0.818530619,0,0,0.935490668,0.720420003,0.272460401,0.744235158,0,0,0,0,0,0,0,0,0,0,0.597339213,0,0.741372943,"B",1513.587036,87.9752121
"Cell_1425",0,0,0,0,0,0.335064352,0,0,0,0,0.227436751,0,0,0,0,0,0.739265263,0,0,0.721239924,0.708977222,0.189342454,0.659966171,0,0,0,0,0,0,0,0,0,0,0.37984848,0,0.691396594,"B",1526.864014,88.24848175
