year,province,cas_number,substance,tot_air_tonnes,facility_count
2015,ON,56-23-5,Carbon tetrachloride,0.0002,1
2015,ON,56-49-5,3-Methylcholanthrene,0.000114,2
2015,ON,56-55-3,Benz[a]anthracene,0.1635409,17
2015,ON,57-97-6,"7,12-Dimethylbenz[a]anthracene",0.0015488,4
2015,ON,584-84-9,"Toluene-2,4-diisocyanate",0.0003808,4
2015,ON,630-08-0,Carbon monoxide,67834.1491,261
2015,ON,64-18-6,Formic acid,30.937,3
2015,ON,64-75-5,Tetracycline hydrochloride,0.0002,2
2015,ON,67-56-1,Methanol,2057.8725,75
2015,ON,67-63-0,Isopropyl alcohol,587.0839,67
2015,ON,67-66-3,Chloroform,0.0039,1
2015,ON,68-12-2,"n,n-Dimethylformamide",1.5767,1
2015,ON,71-36-3,n-Butyl alcohol,372.8516,21
2015,ON,71-43-2,Benzene,172.2037,19
2015,ON,7429-90-5,Aluminum (fume or dust only),14.4176,5
2015,ON,7440-62-2,Vanadium (except when in an alloy) and its compounds,4.8275,20
2015,ON,7446-09-5,Sulphur dioxide,248757.7696,101
2015,ON,74-83-9,Bromomethane,0.0006,1
2015,ON,74-85-1,Ethylene,458.3306,14
2015,ON,74-87-3,Chloromethane,59.057,2
2015,ON,74-90-8,Hydrogen cyanide,107.0705,4
2015,ON,75-01-4,Vinyl chloride,0.3861,2
2015,ON,75-05-8,Acetonitrile,11.366,3
2015,ON,75-07-0,Acetaldehyde,87.9395,8
2015,ON,75-09-2,Dichloromethane,35.493,5
2015,ON,75-15-0,Carbon disulphide,216.2611,5
2015,ON,75-45-6,HCFC-22,5.8,1
2015,ON,75-69-4,CFC-11,0.0001,1
2015,ON,75-71-8,CFC-12,0.0002,1
2015,ON,7632-00-0,Sodium nitrite,0.5201,1
2015,ON,7647-01-0,Hydrochloric acid,568.9612,39
2015,ON,7664-39-3,Hydrogen fluoride,25.3514,4
2015,ON,7664-93-9,Sulphuric acid,1564.7449,46
2015,ON,7681-49-4,Sodium fluoride,0.0006,1
2015,ON,7697-37-2,Nitric acid,12.5645,14
2015,ON,77-73-6,Dicyclopentadiene,0.3969,1
2015,ON,7782-41-4,Fluorine,0.02,1
2015,ON,7782-50-5,Chlorine,6.901,5
2015,ON,7783-06-4,Hydrogen sulphide,347.2698,20
2015,ON,7789-75-5,Calcium fluoride,1.7078,2
2015,ON,78-79-5,Isoprene,4.9777919,5
2015,ON,78-83-1,i-Butyl alcohol,145.0947,14
2015,ON,78-87-5,"1,2-Dichloropropane",0.0001,1
2015,ON,78-93-3,Methyl ethyl ketone,973.6473,60
2015,ON,79-01-6,Trichloroethylene,23.1287,3
2015,ON,79-21-0,Peracetic acid (and its salts),19.8853,3
2015,ON,80-05-7,Bisphenol A,0.000209,2
2015,ON,80-62-6,Methyl methacrylate,27.5573,4
2015,ON,83-32-9,Acenaphthene,1.1837078,13
2015,ON,85-01-8,Phenanthrene,1.9628996,26
2015,ON,85-44-9,Phthalic anhydride,0.09,3
2015,ON,85-68-7,Butyl benzyl phthalate,0.002,1
2015,ON,86-73-7,Fluorene,0.3834676,17
2015,ON,872-50-4,N-Methyl-2-pyrrolidone,41.6429,10
2015,ON,9016-87-9,Polymeric diphenylmethane diisocyanate,0.011,6
2015,ON,91-08-7,"Toluene-2,6-diisocyanate",0.0001286,3
2015,ON,91-20-3,Naphthalene,34.8301,16
2015,ON,91-22-5,Quinoline,0.2063328,3
2015,ON,92-52-4,Biphenyl,3.7773,5
2015,ON,94-36-0,Benzoyl peroxide,0.0001,1
2015,ON,95-63-6,"1,2,4-Trimethylbenzene",316.2405,28
2015,ON,98-82-8,Cumene,0.1139,4
2015,ON,NA - 01,Antimony (and its compounds),0.202,6
2015,ON,NA - 02,Arsenic (and its compounds),5.8779545,61
2015,ON,NA - 03,Cadmium (and its compounds),1.252918,94
2015,ON,NA - 04,Chromium (and its compounds),1.8908,45
2015,ON,NA - 05,Cobalt (and its compounds),2.9281,24
2015,ON,NA - 06,Copper (and its compounds),85.6229,69
2015,ON,NA - 07,Cyanides (ionic),18.8957,8
2015,ON,NA - 08,Lead (and its compounds),27.5967612,165
2015,ON,NA - 09,Manganese (and its compounds),24.6077,78
2015,ON,NA - 10,Mercury (and its compounds),0.6440596,50
2015,ON,NA - 11,Nickel (and its compounds),91.7713,59
2015,ON,NA - 12,Selenium (and its compounds),11.015518,67
